From (2016):,To (Edition 3):
101021011 Queanbeyan Region,101021610 Googong
,101021611 Queanbeyan Surrounds
103011058 Bathurst,103011612 Bathurst - South
,103011613 Bathurst - West
106021117 Maitland - West,106021615 Rutherford (North) - Aberglasslyn
,106021616 Rutherford (South) - Telarah
108041163 Port Macquarie - East,108041619 Port Macquarie - East
,108041620 Port Macquarie - South
116021310 Parklea - Kellyville Ridge,116021628 Kellyville Ridge - The Ponds
,116021633 Stanhope Gardens - Parklea
116021312 Riverstone - Marsden Park,116021629 Marsden Park - Shanes Park
,116021632 Schofields - East
,116021630 Riverstone
,116021631 Schofields (West) - Colebee
117011322 Mascot - Eastlakes,117011634 Eastlakes
,117011635 Mascot
117021326 Marrickville,117021637 Marrickville - South
,117021636 Marrickville - North
117031332 Newtown - Camperdown - Darlington,117031640 Newtown (NSW)
,117031638 Camperdown - Darlington
117031334 Pyrmont - Ultimo,117031641 Pyrmont
,117031646 Ultimo
117031335 Redfern - Chippendale,117031642 Redfern
,117031639 Chippendale
117031337 Sydney - Haymarket - The Rocks,117031645 Sydney (South) - Haymarket
,117031644 Sydney (North) - Millers Point
117031338 Waterloo - Beaconsfield,117031643 Rosebery - Beaconsfield
,117031648 Zetland
,117031647 Waterloo
118011343 Double Bay - Bellevue Hill,118011649 Bellevue Hill
,118011650 Double Bay - Darling Point
118021348 Coogee - Clovelly,118021654 South Coogee
,118021651 Coogee - Clovelly
118021350 Malabar - La Perouse - Chifley,118021653 Matraville - Chifley
,118021652 Malabar - La Perouse
119011357 Greenacre - Mount Lewis,119011655 Greenacre - North
,119011656 Greenacre - South
119011359 Panania - Milperra - Picnic Point,119011657 Panania (North) - Milperra
,119011658 Panania (South) - Picnic Point
119021363 Canterbury (South) - Campsie,119021661 Canterbury - South
,119021659 Campsie - North
,119021660 Campsie - South
119021364 Kingsgrove (North) - Earlwood,119021663 Kingsgrove - North
,119021662 Earlwood
119031368 Hurstville,119031664 Hurstville - Central
,119031665 Hurstville - North
119031369 Mortdale - Penshurst,119031666 Mortdale - Oatley
,119031667 Penshurst
119041375 Arncliffe - Bardwell Valley,119041668 Arncliffe - Bardwell Valley
,119041671 Wolli Creek
119041376 Bexley,119041670 Bexley - South
,119041669 Bexley - North
120011384 Concord West - North Strathfield,120011673 Rhodes
,120011672 Concord West - North Strathfield
120021388 Leichhardt - Annandale,120021674 Annandale (NSW)
,120021675 Leichhardt
120031390 Ashfield,120031677 Ashfield - South
,120031676 Ashfield - North
120031391 Burwood - Croydon,120031679 Croydon
,120031678 Burwood (NSW)
120031575 Strathfield,120031681 Strathfield - West
,120031680 Strathfield - East
121011398 Chatswood (East) - Artarmon,121011684 Chatswood - East
,121011682 Artarmon
121011400 Lane Cove - Greenwich,121011686 Lane Cove
,121011685 Greenwich - Riverview
121011402 Willoughby - Castle Cove - Northbridge,121011683 Castle Cove - Northbridge
,121011687 Willoughby
121041415 Mosman,121041689 Mosman - South
,121041688 Mosman - North
122021423 Warriewood - Mona Vale,122021691 North Narrabeen - Warriewood (South)
,122021690 Mona Vale - Warriewood (North)
122031426 Dee Why - North Curl Curl,122031695 Dee Why - North
,122031694 Dee Why (South) - North Curl Curl
122031428 Frenchs Forest - Belrose,122031696 Frenchs Forest - Oxford Falls
,122031692 Belrose
122031431 Narrabeen - Collaroy,122031693 Collaroy - Collaroy Plateau
,122031697 Narrabeen - Wheeler Heights
123011434 Elderslie - Harrington Park,123011700 Harrington Park
,123011699 Elderslie - Narellan
123011435 Mount Annan - Currans Hill,123011701 Mount Annan
,123011702 Spring Farm
,123011698 Currans Hill
123021442 Macquarie Fields - Glenfield,123021704 Glenfield
,123021706 Macquarie Fields
124031458 Castlereagh - Cranebrook,124031708 Jordan Springs - Llandilo
,124031707 Cranebrook - Castlereagh
125011473 Homebush Bay - Silverwater,125011710 Wentworth Point - Sydney Olympic Park
,125011709 Silverwater - Newington
125021476 Carlingford,125021712 Carlingford - West
,125021711 Carlingford - East
125031485 Merrylands - Holroyd,125031714 Merrylands - Holroyd
,125031716 South Wentworthville
125041492 Parramatta - Rosehill,125041717 Parramatta - North
,125041718 Parramatta - South
,125041719 Rosehill - Harris Park
126011495 Epping - North Epping,126011720 Epping (East) - North Epping
,126011721 Epping (NSW) - West
126021497 Eastwood - Denistone,126021722 Denistone
,126021723 Eastwood
126021591 Ryde,126021724 Ryde - North
,126021725 Ryde - South
127031598 Liverpool,127031731 Liverpool - East
,127031732 Liverpool - West
201011003 Ballarat - North,201011481 Ballarat East - Warrenheip
,201011482 Ballarat North - Invermay
201011004 Ballarat - South,201011483 Canadian - Mount Clear
,201011484 Sebastopol - Redan
203021038 Corio - Norlane,203021486 Corio - Lovely Banks
,203021488 Norlane
203021041 Grovedale,203021485 Charlemont
,203021487 Grovedale - Mount Duneed
203031050 Ocean Grove - Barwon Heads,203031489 Barwon Heads - Armstrong Creek
,203031490 Ocean Grove
204031074 Wodonga,204031491 Baranduda - Leneva
,204031492 Wodonga
205041097 Traralgon,205041493 Traralgon - East
,205041494 Traralgon - West
206011105 Brunswick,206011495 Brunswick - North
,206011496 Brunswick - South
206011108 Coburg,206011497 Coburg - East
,206011498 Coburg - West
206021111 Northcote,206021499 Northcote - East
,206021500 Northcote - West
206031114 Essendon - Aberfeldie,206031501 Essendon (West) - Aberfeldie
,206031502 Essendon - East
206041122 Melbourne,206041503 Melbourne CBD - East
,206041504 Melbourne CBD - North
,206041505 Melbourne CBD - West
206041123 North Melbourne,206041506 North Melbourne
,206041510 West Melbourne - Residential
206051133 St Kilda,206051513 St Kilda - Central
,206051514 St Kilda - West
206061137 South Yarra - East,206061515 South Yarra - North
,206061516 South Yarra - South
206071144 Richmond (Vic.),206071517 Richmond (South) - Cremorne
,206071518 Richmond - North
207011151 Hawthorn,207011519 Hawthorn - North
,207011520 Hawthorn - South
207011153 Kew,207011521 Kew - South
,207011522 Kew - West
209021207 Reservoir - East,209021523 Reservoir - North East
,209021525 Reservoir - South East
209021208 Reservoir - West,209021524 Reservoir - North West
,209021526 Reservoir - South West
209041219 Lalor,209041529 Lalor - East
,209041530 Lalor - West
209041430 Doreen,209041527 Doreen - North
,209041528 Doreen - South
209041434 Mernda,209041531 Mernda - North
,209041532 Mernda - South
210011229 Keilor East,210011533 Avondale Heights
,210011534 Keilor East
210031239 Pascoe Vale,210031537 Oak Park
,210031538 Pascoe Vale
210031438 Glenroy,210031535 Glenroy - East
,210031536 Glenroy - West
210041241 Sunbury - South,210041539 Diggers Rest
,210041540 Sunbury - South
,210041541 Sunbury - West
210051249 Roxburgh Park - Somerton,210051544 Roxburgh Park (South) - Somerton
,210051545 Roxburgh Park - North
212021294 Berwick - South,212021553 Berwick - South East
,212021554 Berwick - South West
212031301 Cranbourne East,212031555 Clyde North - North
,212031556 Clyde North - South
,212031557 Cranbourne East - North
,212031558 Cranbourne East - South
212031302 Cranbourne North,212031559 Cranbourne North - East
,212031560 Cranbourne North - West
212031305 Hampton Park - Lynbrook,212031561 Hampton Park - East
,212031562 Hampton Park - West
212041311 Dandenong,212041563 Dandenong - North
,212041564 Dandenong - South
212041314 Keysborough,212041565 Keysborough - North
,212041566 Keysborough - South
212051320 Clayton,212051567 Clayton (North) - Notting Hill
,212051568 Clayton - Central
213011330 Deer Park - Derrimut,213011569 Deer Park
,213011570 Derrimut
213041355 Hillside,213041574 Fraser Rise - Plumpton
,213041575 Hillside
213041356 Melton,213041576 Kurunjang - Toolern Vale
,213041577 Melton
213041357 Melton South,213041571 Brookfield
,213041572 Cobblebank - Strathtulloh
,213041573 Eynesbury - Exford
,213041578 Melton South - Weir Views
213051365 Tarneit,213051582 Tarneit (West) - Mount Cottrell
,213051583 Tarneit - Central
,213051584 Tarneit - North
,213051585 Tarneit - South
213051366 Truganina,213051586 Truganina - North
,213051587 Truganina - South East
,213051588 Truganina - South West
213051369 Wyndham Vale,213051579 Manor Lakes - Quandong
,213051589 Wyndham Vale - North
,213051590 Wyndham Vale - South
213051465 Point Cook - North,213051580 Point Cook - North East
,213051581 Point Cook - North West
214021380 Mornington,214021591 Mornington - East
,214021592 Mornington - West
216031417 Shepparton - South,216031593 Kialla
,216031594 Shepparton - South East
301021527 Redland Islands,301021550 North Stradbroke Island
,301021551 Southern Moreton Bay Islands
309071255 Ormeau - Yatala,309071552 Ormeau (East) - Stapylton
,309071553 Ormeau (West) - Yatala
309081261 Robina,309081559 Robina - East
,309081560 Robina - West
309101270 Surfers Paradise,309101561 Surfers Paradise - North
,309101562 Surfers Paradise - South
310011273 Forest Lake - Doolandella,310011563 Doolandella
,310011564 Forest Lake - Ellen Grove
310041296 Bellbird Park - Brookwater,310041565 Augustine Heights - Brookwater
,310041566 Bellbird Park
311041320 Greenbank,311041568 Flagstone (West) - New Beith
,311041569 Greenbank - North Maclean
311041321 Jimboomba,311041567 Flagstone (East) - Riverbend
,311041570 Jimboomba - Glenlogan
,311041571 Yarrabilba
313021365 Caboolture,313021572 Caboolture - East
,313021573 Caboolture - West
313051542 Scarborough - Newport - Moreton Island,313051574 Moreton Island
,313051575 Scarborough - Newport
314021388 Dakabin - Kallangur,314021576 Dakabin
,314021577 Kallangur
314021390 North Lakes - Mango Hill,314021578 Mango Hill
,314021579 North Lakes
318021473 Deeragun,318021582 Burdell - Mount Low
,318021583 Deeragun - Jensen
402031037 Northgate - Oakden - Gilles Plains,402031175 Northgate - Northfield
,402031176 Valley View - Gilles Plains
403041087 Seaford (SA),403041177 Seaford - Seaford Meadows
,403041178 Seaford Rise - Moana
501011002 Busselton,501011293 Busselton - East
,501011294 Busselton - West
503021041 Perth City,503021295 East Perth
,503021296 Perth (North) - Highgate
,503021297 Perth (West) - Northbridge
504031059 Ellenbrook,504031298 Aveley
,504031299 Brabham - Henley Brook
,504031300 Ellenbrook
505021086 Dianella,505021301 Dianella - North
,505021302 Dianella - South
505031103 Madeley - Darch - Landsdale,505031304 Landsdale
,505031305 Madeley - Darch
505031108 Wanneroo,505031303 Hocking - Pearsall
,505031306 Wanneroo - Sinagra
506011113 Forrestdale - Harrisdale - Piara Waters,506011307 Harrisdale
,506011308 Piara Waters - Forrestdale
506021122 Rivervale - Kewdale - Cloverdale,506021309 Cloverdale
,506021310 Kewdale
,506021311 Rivervale
507051185 Baldivis,507051312 Baldivis - North
,507051313 Baldivis - South
,507051314 Karnup
801011112 West Belconnen,801011142 Macnamara
,801011143 Strathnairn
,801011144 West Belconnen
801101138 Molonglo - North,801101145 Molonglo - East
,801101146 Whitlam
